node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
14207,ulchq.com,3,4694830.0,2.0,155.26666666666668,74.0,0.6283000000000001
14208,salaryexplorer.com,3,51025.0,1.4,138.0,319.0,0.754
14209,creepsonamission.com,3,3570864.0,2.0,170.0,39.0,0.714
14210,upworthy.com,2,7630.0,1.88,154.0,3495.0,0.326
14211,sussexcountyva.gov,3,5745874.0,1.0,22.0,26.0,0.667
14212,azdes.gov,3,10766.0,5.49,454.0,221.0,0.149
14213,lewisarthur.wordpress.com,3,4112378.0,1.0,143.6,3.0,0.4918
14214,wvic.com,3,684062.0,1.2,178.0,139.0,0.811
14215,pyrolysis-plastic.com,3,4507275.0,1.0,168.1,47.0,0.5227
14216,visitheritageharbor.com,3,5204617.0,1.0,105.9,4.0,0.8302999999999999
14217,transformationstreatment.center,3,813662.0,2.0,80.0,80.0,0.529
14218,350maine.org,3,3544743.0,2.1,291.8,54.0,0.45779999999999993
14219,cybercosmopolitan.wordpress.com,3,4572662.0,1.0,218.6,1.0,0.7922
14220,reaxxion.com,3,5276421.0,1.0,138.0,99.0,0.727
14221,topamericanwriters.com,3,4450325.0,1.0,132.0,121.0,0.8545999999999999
14222,sbclife.net,3,1793392.0,1.0,171.66666666666666,126.0,0.6656666666666666
14223,goodinfonetwork.com,3,268524.0,1.3,110.0,12.0,0.728
14224,bdnews.com,3,2710854.0,1.0,24.0,86.0,0.5
14225,frieord.no,3,4765648.4,2.6,244.2,7.0,0.6404
14226,workingassets.com,3,1331235.4,2.2800000000000002,117.2,173.0,0.6868000000000001
14227,bouncingtomatoes.com,3,7468010.0,1.0,117.2,1.0,0.5937
14228,inchestocm.co,3,1375279.0,2.0,76.0,8.0,0.824
14229,cdnmedhall.org,3,2670648.0,2.0,104.0,140.0,0.6485999999999998
14230,sen.ovh,3,773935.0,2.0,105.0,19.0,0.652
14231,abplive.com,3,1700.0,2.59,220.0,100.0,0.568
